Length,Cumulative Growth
0,1
1,4
2,10
3,22
4,46
5,94
6,190
7,382
8,738
9,1394
10,2450
11,4266
12,7106
13,11526
14,18078
15,27794
16,41030
17,59614
18,84882
19,118614
20,162990
21,221178
22,295630
23,389114
24,505562
25,649102
26,826010
27,1042294
28,1302182
29,1612390
30,1983234
31,2423646
32,2941146
33,3546870
34,4254430
35,5074018
36,6020690
37,7109182
38,8357366
39,9781734
40,11399062
41,13243322
42,15329334
43,17677278
44,20315586
45,23276394
46,26591042
47,30294726
48,34413174
49,38991238
50,44065066
51,49683866
52,55875030
53,62698346
54,70197494
55,78423574
56,87449106
57,97315646
58,108068010
59,119789306
60,132527506
61,146365086
62,161408306
63,177728434
64,195351462
65,214447398
66,235053358
67,257275554
68,281236478
69,307035158
70,334751990
71,364547066
72,396503110
73,430724094
74,467342214
75,506524734
76,548362826
77,593096322
78,640764054
79,691554942
80,745665138
81,803319566
82,864521606
83,929642962
84,998798842
85,1072127018
86,1149918786
87,1232372758
88,1319574814
89,1411933206
90,1509557806
91,1612743058
92,1721834962
93,1837042830
94,1958496642
95,2086673890
96,2221740786
97,2364071434
98,2513991482
99,2671793666
100,2837582462
101,3012076570
102,3195405478
103,3387857926
104,3589959742
105,3802141886
106,4024428502
107,4257631222
108,4501802022
109,4757469706
110,5025079470
111,5305271914
112,5598248898
113,5904750130
114,6224931274
115,6559336994
116,6908649550
117,7273357986
118,7653683626
119,8050704626
120,8464383422
121,8895568790
122,9344827586
123,9813083018
124,10300231542
125,10807803062
126,11335929894
127,11885481818
128,12457289298
129,13052171078
130,13670051574
131,14312490446
132,14979778574
133,15672668866
134,16392105506
135,17139093270
136,17913546550
137,18717483186
138,19550737402
139,20414728442
140,21310507138
141,22239113930
142,23200815202
143,24197389230
144,25228994482
145,26296784986
146,27402353302
147,28546907810
148,29730320938
149,30955171354
150,32221554818
151,33531167098
152,34885274910
153,36285235514
154,37731087538
155,39225383430
156,40768496198
157,42361971174
158,44006954974
159,45705306730
160,47457518370
161,49266484974
162,51132153942
163,53056377982
164,55041273506
165,57088111062
166,59197162006
167,61372267578
168,63613106370
169,65921806578
170,68299922826
171,70750171562
172,73272430026
173,75870369374
174,78544283978
175,81296774002
176,84129200066
177,87044709894
178,90042164646
179,93126640310
180,96298059830
181,99558861862
182,102911888862
183,106359542958
184,109901579322
185,113542943390
186,117283458454
187,121126410202
188,125074089430
189,129129572790
190,133292365934
191,137568517954
192,141957345034
193,146462544426
194,151086460818
195,155832873934
196,160701236054
197,165697558674
198,170821267742
199,176076529226
200,181466271870
201,186993868886
202,192659752362
203,198469939598
204,204424071306
205,210525764558
206,216778860206
207,223187832986
208,229751423646
209,236478427126
210,243367150038
211,250423447878
212,257650954954
213,265052475974
214,272628935486
